DH,INJV,Xt,Mt,XMt,NDH,B
-1.23106,3,0,0.00159,0.0239,--,--
-9.2422,10,3.78081E-5,0.00158,0.10394,-51061.87124,-50749.87728
-9.2428,10,1.63263E-4,0.00157,0.18454,-51065.1756,-50577.49363
-9.07549,10,2.87839E-4,0.00156,0.26569,-50140.82866,-50326.65431
-9.05216,10,4.11536E-4,0.00155,0.34739,-50011.91572,-49942.75335
-9.04199,10,5.34353E-4,0.00154,0.42965,-49955.72496,-49316.49225
-8.65016,10,6.56291E-4,0.00153,0.51246,-47790.9417,-48209.02114
-8.20933,10,7.7735E-4,0.00152,0.59583,-45355.39739,-46051.47689
-7.35776,10,8.97529E-4,0.00151,0.67975,-40650.6196,-41471.83208
-5.94417,10,0.00102,0.0015,0.76423,-32840.71558,-32203.65584
-3.58228,10,0.00114,0.00149,0.84926,-19791.60562,-19412.6744
-1.72741,10,0.00125,0.00148,0.93485,-9543.67494,-9815.08339
-0.79162,10,0.00137,0.00146,1.02099,-4373.60622,-5032.25248
-0.4479,10,0.00149,0.00145,1.10769,-2474.56373,-2801.28688
-0.33104,10,0.0016,0.00144,1.19494,-1828.95037,-1671.87095
-0.07506,10,0.00171,0.00143,1.28275,-414.70018,-1041.5332
-0.05274,10,0.00183,0.00142,1.37111,-291.36296,-659.67083
-0.02267,10,0.00194,0.00141,1.46002,-125.22612,-412.81577
-0.12911,10,0.00205,0.0014,1.54949,-713.33016,-244.82944
0.0139,10,0.00216,0.00139,1.63952,76.78511,-125.71451
-0.03285,10,0.00227,0.00139,1.7301,-181.47089,-38.37757
-0.02327,10,0.00238,0.00138,1.82123,-128.57578,27.45696
-0.06562,10,0.00249,0.00137,1.91292,-362.56693,78.24914
-0.00208,10,0.00259,0.00136,2.00517,-11.51591,118.21707
0.03474,10,0.0027,0.00135,2.09797,191.94241,150.20551
-0.02498,10,0.00281,0.00134,2.19132,-138.02538,176.18728
-0.04008,10,0.00291,0.00133,2.28523,-221.43049,197.56419
0.0114,10,0.00301,0.00132,2.37969,63.0074,215.35371
,--,0.00312,0.00131,--,,
